[00:30:50][INFO](lu.pcy113.pdr.client.ClientMain#main@22) Starting
[00:30:50][FINEST](lu.pcy113.pdr.client.game.PDRClientGame#<init>@20) <- lu.pcy113.pdr.client.ClientMain#main@31
[00:30:50][FINEST](lu.pcy113.pdr.engine.GameEngine#<init>@20) <- lu.pcy113.pdr.client.ClientMain#main@32
[00:30:50][FINEST](lu.pcy113.pdr.engine.graph.Renderer#<init>@18) <- lu.pcy113.pdr.engine.GameEngine#<init>@28
[00:30:50][FINEST](lu.pcy113.pdr.engine.graph.SceneRenderer#<init>@23) <- lu.pcy113.pdr.engine.graph.Renderer#<init>@22
[00:30:50][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@17) <- lu.pcy113.pdr.engine.graph.SceneRenderer#<init>@28
[00:30:50][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createShader@73) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#lambda$0@25
[00:30:50][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createShader@73) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#lambda$0@25
[00:30:50][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#link@52) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@27
[00:30:50][FINEST](lu.pcy113.pdr.engine.graph.SceneRenderer#createUniforms@41) <- lu.pcy113.pdr.engine.graph.SceneRenderer#<init>@30
[00:30:50][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#<init>@18) <- lu.pcy113.pdr.engine.graph.SceneRenderer#createUniforms@43
[00:30:50][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@25) <- lu.pcy113.pdr.engine.graph.SceneRenderer#createUniforms@44
[00:30:50][FINEST](lu.pcy113.pdr.engine.scene.Scene#<init>@17) <- lu.pcy113.pdr.engine.GameEngine#<init>@29
[00:30:50][FINEST](lu.pcy113.pdr.client.game.PDRClientGame#init@25) <- lu.pcy113.pdr.engine.GameEngine#<init>@31
